OPTIMAL FILE
Total Distance of Optimal Path: 33523.70850743559

HILL CLIMBING
Run 1: 57495.873897231344
Run 2: 67673.11950937526 
Run 3: 56153.90603084824 
Run 4: 49940.19250756425 
Run 5: 68143.2061778541  
Run 6: 58447.31672475432 
Run 7: 63722.18719292628 
Run 8: 57436.88225974369 
Run 9: 61087.91562805009 
Run 10: 67219.04290974987
Run 11: 60527.01676745722
Run 12: 66886.89720476783
Run 13: 59080.36837817635
Run 14: 66291.42482927676
Run 15: 58054.496418042334
Run 16: 57050.223081385644
Run 17: 52642.46996846697
Run 18: 68509.29823411183
Run 19: 55549.91445143993
Run 20: 57930.301912691815
Run 21: 53113.69752743111
Run 22: 66705.5408657132
Run 23: 55592.177550238266
Run 24: 62714.10810736539
Run 25: 56417.405756629254
Run 26: 60182.931284151186
Run 27: 63564.07904800541
Run 28: 62508.325607234125
Run 29: 55080.73076946582
Run 30: 61362.426114200076
Run 31: 55802.55004203091
Run 32: 67689.57818815856
Run 33: 68035.4708219077
Run 34: 67558.28877073064
Run 35: 65610.57639839593
Run 36: 58588.70493366341
Run 37: 64762.632167642594
Run 38: 61862.990544450025
Run 39: 56851.5973494358
Run 40: 63351.15770823692
Run 41: 65922.38848499114
Run 42: 61366.235980604826
Run 43: 64104.24029362183
Run 44: 66266.0265840775
Run 45: 65879.6843122525
Run 46: 60667.46259980869
Run 47: 64796.79636614467
Run 48: 62233.63300882774
Run 49: 63159.53384830446
Run 50: 63397.68669827508

WHALE SWARM

POPULATION 50
Run 1: 45629.51816654891
Run 2: 54973.61451961226  
Run 3: 47003.47886482839  
Run 4: 43972.22482461249  
Run 5: 39860.023048799034 
Run 6: 41904.14161745591  
Run 7: 55746.78586151376  
Run 8: 48637.05912235741  
Run 9: 59408.38135534992  
Run 10: 42452.92258067877 
Run 11: 48745.81732263092 
Run 12: 48147.739010463956
Run 13: 48020.021441267774
Run 14: 42565.90559460126 
Run 15: 49197.94397542527 
Run 16: 45879.337027358866
Run 17: 44135.18531787943 
Run 18: 50524.47251698956 
Run 19: 43617.79528984387 
Run 20: 46346.88963364819 
Run 21: 48636.96419224998 
Run 22: 51849.56659802265 
Run 23: 52826.83046179976 
Run 24: 44618.17999419133
Run 25: 48970.71668513197
Run 26: 58812.39000897884
Run 27: 50465.90644846034
Run 28: 51198.41970568626
Run 29: 55988.54526339453
Run 30: 46363.79569179446
Run 31: 41742.13744533302
Run 32: 47373.7619654237
Run 33: 41341.92480560759
Run 34: 46553.934175587965
Run 35: 51461.95926667789
Run 36: 45985.22160030571
Run 37: 53909.49766101786
Run 38: 48455.835589136404
Run 39: 50939.890822541725
Run 40: 51196.5694233955
Run 41: 53185.128665273216
Run 42: 52220.03984672911
Run 43: 49770.315408722716
Run 44: 43256.374364130745
Run 45: 54778.9773228772
Run 46: 45382.07920917271
Run 47: 53350.78513236034
Run 48: 43470.4477048377
Run 49: 43324.14273392803
Run 50: 49339.56648203436

POPULATION 100
Run 1: 49376.108667704466
Run 2: 51140.80286082465
Run 3: 52085.00315314291
Run 4: 40153.03055225424
Run 5: 48200.18323232617
Run 6: 39344.1227124339
Run 7: 45725.223208463605
Run 8: 46244.03376944125
Run 9: 46601.09670804239
Run 10: 49682.74288099448
Run 11: 47636.50976579923
Run 12: 45081.54623027476
Run 13: 47603.514908410216
Run 14: 49485.82750439297
Run 15: 48162.63800672295
Run 16: 52054.38195996626
Run 17: 45356.49630928877
Run 18: 53546.05811219399
Run 19: 56735.37558160348
Run 20: 49994.617752219194
Run 21: 44534.615349109175
Run 22: 44823.70017075142
Run 23: 50255.222525703444
Run 24: 41589.546044495146
Run 25: 46746.47629263567
Run 26: 45755.01266626479
Run 27: 47076.1691732525
Run 28: 44955.8365729291
Run 29: 58006.03764429918
Run 30: 52340.91900003473
Run 31: 47830.79879131476
Run 32: 51126.65941298242
Run 33: 55512.59629476938
Run 34: 53375.96048863445
Run 35: 44294.844690542355
Run 36: 40059.31530741681
Run 37: 54799.96324109737
Run 38: 51634.72560223935
Run 39: 42938.29947874137
Run 40: 41840.327837367615
Run 41: 56586.786908948634
Run 42: 45832.30011947895
Run 43: 47190.27261605053
Run 44: 53184.67509262838
Run 45: 44504.172044999534
Run 46: 44696.71994788156
