OPTIMAL FILE
Total Distance of Optimal Path: 7544.365901904087

HILL CLIMBING
Run 1: 13296.26381432236
Run 2: 13045.731873850727 
Run 3: 14358.52512834897  
Run 4: 13240.577405266984 
Run 5: 13927.64362875492  
Run 6: 14345.124402746964 
Run 7: 13653.714239128534 
Run 8: 12929.396410964586 
Run 9: 13514.07419931945  
Run 10: 13635.258664843705
Run 11: 14762.547802582278
Run 12: 13058.907573196771
Run 13: 14563.582316318305
Run 14: 14021.329404527143
Run 15: 14397.85822149159 
Run 16: 12696.854692110233
Run 17: 13971.944363460889
Run 18: 12779.707358812113
Run 19: 12617.767406200399
Run 20: 15001.250601261921
Run 21: 13348.481867628989
Run 22: 12872.75646147425
Run 23: 14259.077264166044
Run 24: 14626.723503488362
Run 25: 13598.299102843655
Run 26: 12966.506548306319
Run 27: 14330.90035501045
Run 28: 13386.970216471305
Run 29: 13437.110277808406
Run 30: 12555.665673096828
Run 31: 13457.90006480766
Run 32: 13455.811562681254
Run 33: 12997.283512261747
Run 34: 13839.06033824594
Run 35: 13025.490036268831
Run 36: 12467.327320723643
Run 37: 12363.204999391803
Run 38: 12855.370518756661
Run 39: 14225.707879285934
Run 40: 12936.767289472189
Run 41: 13353.385441555552
Run 42: 13415.182787316024
Run 43: 14452.766563975585
Run 44: 15292.833206081239
Run 45: 14989.057282826616
Run 46: 13500.855007539529
Run 47: 13131.07470313571
Run 48: 11862.987799855056
Run 49: 14050.87153530615
Run 50: 15308.129945435612

WHALE SWARM

POPULATION 50
Run 1: 10032.55278303243
Run 2: 10636.113405096386 
Run 3: 9528.217807056226  
Run 4: 9665.436845090515  
Run 5: 11127.563076886638 
Run 6: 10917.331659782754 
Run 7: 9641.20040025873   
Run 8: 10545.026947692977 
Run 9: 10086.19750265516  
Run 10: 10470.960441476014
Run 11: 11694.066774432977
Run 12: 10755.118240415446
Run 13: 9751.10933080126  
Run 14: 9502.258660914134 
Run 15: 10650.029881320015
Run 16: 10093.863192775505
Run 17: 11441.558541130158
Run 18: 10232.742848637645
Run 19: 10352.403742298597
Run 20: 9694.118807553825 
Run 21: 10461.608818018782
Run 22: 11101.825977637349
Run 23: 10336.785245766248
Run 24: 10175.006629655787
Run 25: 10085.312825856747
Run 26: 11712.73969644429
Run 27: 10376.00387153483
Run 28: 10069.631100097187
Run 29: 9523.529708828613
Run 30: 10511.694637653687
Run 31: 11370.41473419907
Run 32: 10229.661469735076
Run 33: 10153.928783403899
Run 34: 10938.861589325454
Run 35: 10233.620544019392
Run 36: 10593.68783533513
Run 37: 9060.850180436964
Run 38: 10473.56597048535
Run 39: 10311.383908534772
Run 40: 10046.82443669255
Run 41: 9896.460463674446
Run 42: 11277.535302494645
Run 43: 10556.164112780496
Run 44: 9601.798450039607
Run 45: 9248.17510265281
Run 46: 9922.871236304656
Run 47: 10917.585298788006
Run 48: 10220.043566537997
Run 49: 10107.587611297158
Run 50: 9388.208757094799

POPULATION 100
Run 1: 10416.548014288679
Run 2: 10982.20938660893
Run 3: 11760.965030588946
Run 4: 10107.96028259709
Run 5: 10240.240351412162
Run 6: 9744.168561688084
Run 7: 10059.912638881482
Run 8: 11165.99079160422
Run 9: 11360.147567610735
Run 10: 9412.700977881275
Run 11: 10350.04437776486
Run 12: 10127.847518607105
Run 13: 10847.811296263195
Run 14: 10699.005279727804
Run 15: 9265.6802451152
Run 16: 11204.599756151287
Run 17: 11097.208419726214
Run 18: 9318.621787329917
Run 19: 9949.5271526443
Run 20: 10510.353177676612
Run 21: 9620.483173896482
Run 22: 11710.698821717508
Run 23: 10390.038136712146
Run 24: 10949.762104901904
Run 25: 11213.883447339196
Run 26: 9897.899499290319
Run 27: 9912.14727846133
Run 28: 9379.176900080067
Run 29: 11007.275718528394
Run 30: 10342.885805742728
Run 31: 11080.001765905434
Run 32: 10351.13844902897
Run 33: 11164.81720173353
Run 34: 11299.840171669406
Run 35: 9502.237546788363
Run 36: 11512.398449112674
Run 37: 9921.987763715655
Run 38: 11015.00336226571
Run 39: 9871.391069409989
Run 40: 9568.205142595605
Run 41: 9982.467017563446
Run 42: 10964.107641004324
Run 43: 10562.128798801776
Run 44: 9540.884394892259
Run 45: 10296.990828127655
Run 46: 11109.221363203575
Run 47: 11501.883322210297
Run 48: 9607.619693440261
Run 49: 10967.047262913622
Run 50: 10821.696315729505

POPULATION 250
Run 1: 10562.639774044092
Run 2: 10040.855269925365
Run 3: 9551.198477526317
Run 4: 9790.7774859178
Run 5: 9745.458415979385
Run 6: 10745.422162408011
Run 7: 11576.742258154596
Run 8: 8422.379316417833
Run 9: 10952.679760554533
Run 10: 10771.72014155187
Run 11: 10061.352315865226
Run 12: 10298.98154618428
Run 13: 10080.314980968311
Run 14: 11168.411368800644
Run 15: 10819.927732501896
Run 16: 10247.868337920776
Run 17: 11215.817781717842
Run 18: 10990.47029773868
Run 19: 10112.141515540334
Run 20: 10343.59911586268
Run 21: 11144.84681917324
Run 22: 9655.205999803295
Run 23: 10888.029097338742
Run 24: 10123.736693913208
Run 25: 9483.797192251524
Run 26: 10719.5136617306
Run 27: 9819.68323524847
Run 28: 9311.330192397521
Run 29: 11287.782950683088
Run 30: 11371.994691540569
Run 31: 11157.124059909404
Run 32: 10879.751293040306
Run 33: 10440.104942631777
Run 34: 10663.978465136282
Run 35: 10918.320138193722
Run 36: 10223.004189857533
Run 37: 10526.21515111009
Run 38: 12087.796189577544
Run 39: 9997.275578491304
Run 40: 11908.621797095673
