Total Distance of Optimal Path: 108159.4382741377

HILL CLIMBING
Run 1: 242575.3631888586
Run 2: 266699.316170063   
Run 3: 235620.47723370924 
Run 4: 261156.4598791136  
Run 5: 256413.6361273887  
Run 6: 269430.7030869368  
Run 7: 255552.15181416142 
Run 8: 255109.9873863725  
Run 9: 263103.98414247675 
Run 10: 250220.63441095385
Run 11: 263313.2910552123 
Run 12: 301145.16132423945
Run 13: 252663.3583338805 
Run 14: 263450.1459859963 
Run 15: 266298.7424280332 
Run 16: 270271.17104127107
Run 17: 263462.5999854749 
Run 18: 286833.7400308324 
Run 19: 223879.3822525744 
Run 20: 258080.67840525458
Run 21: 256809.51685381113
Run 22: 290997.75045919884
Run 23: 272561.9969365599 
Run 24: 264896.97986493574
Run 25: 241792.55740945967
Run 26: 295849.34101914876
Run 27: 276411.59344807465
Run 28: 261181.03133886273
Run 29: 246893.1478647109
Run 30: 268029.5623194155
Run 31: 268350.63324973243
Run 32: 276933.3894908856
Run 33: 260282.6663456935
Run 34: 298596.40477966884
Run 35: 250234.1481944979
Run 36: 276627.08826973813
Run 37: 263567.2422654603
Run 38: 252141.482002428
Run 39: 279197.5334229308
Run 40: 269294.2191365275
Run 41: 278856.3271545517
Run 42: 249650.01903648872
Run 43: 280880.9725751148
Run 44: 288032.88722883817
Run 45: 289222.823689972
Run 46: 270400.6851030744
Run 47: 255722.956793273
Run 48: 283019.69869112846
Run 49: 265078.02165832574
Run 50: 259065.773236857

WHALE SWARM

POPULATION 50
Run 1: 196673.75469992915
Run 2: 166592.85460816656 
Run 3: 160593.37534744694 
Run 4: 165835.93992748036 
Run 5: 165616.03842914503 
Run 6: 157614.28588840173 
Run 7: 178717.66843770567 
Run 8: 168408.58552500082 
Run 9: 143901.25962546616 
Run 10: 160678.98144360914
Run 11: 191826.2009309408 
Run 12: 168387.9023327156 
Run 13: 163717.05975623475
Run 14: 172549.72627408413
Run 15: 194181.1778207404 
Run 16: 169153.50826069823
Run 17: 153256.41723557014
Run 18: 166212.5513066323 
Run 19: 146800.9989603606 
Run 20: 148116.23485362495
Run 21: 169362.7987335702 
Run 22: 184246.12570938404
Run 23: 157651.03566318404
Run 24: 172746.58719060116
Run 25: 154881.23810004457
Run 26: 168448.13621950394
Run 27: 171003.00267484284
Run 28: 170005.81542859907
Run 29: 174086.29906217253
Run 30: 163526.32529487458
Run 31: 158651.38854853905
Run 32: 159284.07955703218
Run 33: 151991.93054530906
Run 34: 161760.99912143362
Run 35: 183582.80319743993
Run 36: 163712.81496232978
Run 37: 183543.6187732822
Run 38: 162486.2375305228
Run 39: 154312.32552867825
Run 40: 164829.86870647897
Run 41: 183102.64932971838
Run 42: 156847.55348537548
Run 43: 186279.7604455432
Run 44: 172107.96094146848
Run 45: 171320.2347454184
Run 46: 165128.1571418505
Run 47: 155639.2078545754
Run 48: 150747.21527005773
Run 49: 180904.7011626633
Run 50: 170133.90696738652

POPULATION 100
Run 1: 171026.94928081
Run 2: 158648.6786830323
Run 3: 178801.70485792018
Run 4: 154591.91497601484
Run 5: 173028.22374737725
Run 6: 164454.2559393086
Run 7: 174235.2384217557
Run 8: 151253.15660908952
Run 9: 187119.22569839304
Run 10: 148525.2084203075
Run 11: 162827.0163444246
Run 12: 169252.40927861072
Run 13: 183172.0331200824
Run 14: 153446.83743800837
Run 15: 162717.80938347624
Run 16: 196988.1860279342
Run 17: 158430.94865205584
Run 18: 163037.90664851715
Run 19: 166150.54075556347
Run 20: 160603.76559030477
Run 21: 178161.9719802878
Run 22: 164526.28505924126
Run 23: 186854.5293021465
Run 24: 162744.13609866085
Run 25: 157059.69197799833
Run 26: 153109.28624836417
Run 27: 170127.81065334578
Run 28: 187632.08153578866
Run 29: 143491.02996853975
Run 30: 170417.61730457298
Run 31: 172811.9660034807
Run 32: 189655.9636458019
Run 33: 176275.447103321
Run 34: 184112.39022038647
Run 35: 165420.63363222915
Run 36: 183002.79694910964
Run 37: 154794.395754638
Run 38: 178046.61910991083
Run 39: 160034.65789775792
Run 40: 167114.81241259252
Run 41: 188656.19258330218
Run 42: 171449.62021340273
Run 43: 181239.2515656732
Run 44: 196345.17574686965
Run 45: 141528.63043108885
Run 46: 181023.94204334347
Run 47: 187532.79579162048
Run 48: 147368.3566641339
Run 49: 194211.09614172293
Run 50: 171006.85773305356

POPULATION 250
Run 1: 161567.3673434965
Run 2: 187064.32149105484 
Run 3: 199330.50903255987 
Run 4: 192438.30564735926 
Run 5: 177896.2981343606  
Run 6: 188239.91984867016 
Run 7: 188707.17558767635 
Run 8: 161467.2713566465  
Run 9: 179883.72677957147 
Run 10: 175401.68102469126
Run 11: 164332.49661235153
Run 12: 171463.93801705487
Run 13: 160204.36808707396
Run 14: 169949.34750489876
Run 15: 161266.11756924505
Run 16: 176260.3388698841
Run 17: 153407.00673691914
Run 18: 162294.4913593559
Run 19: 158138.36573895937
Run 20: 158519.96236609257
Run 21: 165414.2485527936
Run 22: 154841.8929236299
Run 23: 187226.5318395393
Run 24: 179282.75998289543
Run 25: 178607.85318016578
Run 26: 166912.6999914787
Run 27: 159522.3761507284
Run 28: 159016.46497162885
Run 29: 182412.08199712774
Run 30: 168692.62022374265
Run 31: 189236.3472414794
Run 32: 183879.238215559
Run 33: 182183.6311385363
Run 34: 178358.9966989278
Run 35: 175051.49509882802
Run 36: 172709.2030592325
Run 37: 178367.25820874065
Run 38: 163947.02745627533
Run 39: 179747.49952076495
Run 40: 174209.24226533773
Run 41: 172038.32435495986
Run 42: 172024.50337819773
Run 43: 157894.0700621751
Run 44: 165320.6248544107
Run 45: 148467.46225261778
Run 46: 167302.27857378536
Run 47: 156876.45868043476
Run 48: 178922.84194199598
Run 49: 154942.14621725227
Run 50: 192834.25873027107

POPULATION 500
Run 1: 168123.73114610757
Run 2: 168429.47432726153
Run 3: 178550.79754779817
Run 4: 174127.98362061233
Run 5: 172394.46059250564
Run 6: 180776.50885411422
Run 7: 181188.77538510168
Run 8: 167146.7002183961
Run 9: 172183.10288072762
Run 10: 163280.15783045487
Run 11: 163923.9073508741
Run 12: 169874.40339661983
Run 13: 180030.5436105431
Run 14: 186094.43536367072
Run 15: 180302.66826222942
Run 16: 157102.59123219532
Run 17: 162682.9406130155
Run 18: 170087.0164980287
Run 19: 162460.87550191156
Run 20: 174975.03159665532
Run 21: 181851.75376837872
Run 22: 170512.89092914967
Run 23: 174990.57054737431
Run 24: 155158.5240785742
Run 25: 154723.39642090286
Run 26: 184521.08794244713
Run 27: 186763.77073971558
Run 28: 180580.19776481035
Run 29: 164786.50685813776
Run 30: 154281.0060211114
Run 31: 189820.85119334495
Run 32: 153287.43102982792
Run 33: 173984.17459144653
Run 34: 182951.74718179667
Run 35: 179455.20040740102
Run 36: 167573.04504062975
Run 37: 167096.7149496242
Run 38: 168775.26772977776
Run 39: 170508.62524749857
Run 40: 173369.6712732949
